id,title,url,difficulty,ingredients,cuisine,vegetarian,duration,instructions
1,Spaghetti Bolognese,http://example.com/spaghetti-bolognese,Easy,"spaghetti, ground beef, tomato sauce",Italian,False,30,"Cook spaghetti. Cook ground beef. Mix with tomato sauce."
2,Veggie Stir Fry,http://example.com/veggie-stir-fry,Intermediate,"broccoli, bell pepper, soy sauce",Asian,True,15,"Stir fry vegetables. Add soy sauce."
3,Chicken Tikka Masala,http://example.com/chicken-tikka-masala,Intermediate,"chicken breasts, yogurt, tomato paste, spices",Indian,False,45,"Marinate chicken in yogurt and spices. Grill and simmer in tomato sauce."
4,Caprese Salad,http://example.com/caprese-salad,Easy,"tomatoes, fresh mozzarella, basil, olive oil",Italian,True,10,"Slice tomatoes and mozzarella. Arrange with basil leaves. Drizzle with olive oil."
5,Beef Tacos,http://example.com/beef-tacos,Easy,"ground beef, taco seasoning, tortillas, lettuce, tomato, cheese",Mexican,False,20,"Cook ground beef with taco seasoning. Fill tortillas with beef and toppings."
6,Pasta Carbonara,http://example.com/pasta-carbonara,Intermediate,"spaghetti, bacon, eggs, parmesan cheese",Italian,False,25,"Cook spaghetti. Fry bacon. Mix with eggs and parmesan cheese."
7,Mushroom Risotto,http://example.com/mushroom-risotto,Intermediate,"arborio rice, mushrooms, onion, garlic, broth, parmesan cheese",Italian,True,30,"Saute mushrooms, onion, and garlic. Cook rice with broth. Stir in parmesan cheese."
8,Thai Green Curry,http://example.com/thai-green-curry,Intermediate,"chicken, green curry paste, coconut milk, bell peppers, bamboo shoots",Thai,False,30,"Cook chicken with green curry paste. Add coconut milk, bell peppers, and bamboo shoots."
9,Vegetable Pizza,http://example.com/vegetable-pizza,Easy,"pizza dough, tomato sauce, mozzarella cheese, bell peppers, mushrooms, olives",Italian,True,25,"Spread tomato sauce on pizza dough. Add toppings and cheese. Bake until crust is golden."
10,Greek Salad,http://example.com/greek-salad,Easy,"cucumbers, tomatoes, red onion, feta cheese, olives, olive oil",Greek,True,10,"Chop vegetables and feta cheese. Toss with olives and olive oil."
11,Beef Wellington,http://example.com/beef-wellington,Advanced,"beef tenderloin, mushrooms, puff pastry, prosciutto, egg yolk",European,False,60,"Sear beef. Spread with mushroom duxelles. Wrap in puff pastry with prosciutto. Bake until golden."
12,Pad Thai,http://example.com/pad-thai,Intermediate,"rice noodles, shrimp, tofu, peanuts, bean sprouts, tamarind sauce",Thai,False,35,"Soak noodles. Stir fry shrimp and tofu. Add noodles, peanuts, bean sprouts, and tamarind sauce."
13,Ratatouille,http://example.com/ratatouille,Intermediate,"eggplant, zucchini, bell peppers, tomatoes, onion, garlic, herbs",French,True,40,"Slice and saute vegetables. Layer in baking dish. Bake until tender."
14,Sushi Rolls,http://example.com/sushi-rolls,Intermediate,"sushi rice, nori seaweed, raw fish or vegetables, soy sauce, wasabi, pickled ginger",Japanese,False,50,"Prepare sushi rice. Roll with fish or vegetables in seaweed. Slice and serve with soy sauce, wasabi, and ginger."
15,Tiramisu,http://example.com/tiramisu,Intermediate,"ladyfingers, espresso, mascarpone cheese, cocoa powder, rum",Italian,False,40,"Soak ladyfingers in espresso. Layer with mascarpone mixture. Dust with cocoa powder. Chill before serving."
